Formulaire;Millésime;Zone;Type;Donnée;Répétable;Table/Format;Balise XML;Intitulé;Commentaire;Code NREF
2042-I-0;20;AA;DTM;C507.2380.01;NON;602;Valeur;Année N de perception des revenus;SSAA, Format attendu : yyyy;025AAM
2042-I-0;20;BA;NAD;C076.3148.01;NON;TE;Telephone;Déclarant 1 - Téléphone Fixe;minimum = 10 numérique  maximum 13 numérique;025AAK
2042-I-0;20;BA;NAD;C076.3148.01;NON;AL;TelephonePortable;Déclarant 1 - Téléphone portable;minimum = 10 numérique  maximum 13 numérique;025AAN
2042-I-0;20;BA;NAD;C076.3148.01;NON;EM;Email;Déclarant 1 - Mél;60 alpha-num @ 60 alph-num;025AAL
2042-I-0;20;BA;NAD;C082.3039.01;NON;;Identifiant;Déclarant 1 - SPI;13 numérique fixe;025AAB
2042-I-0;20;BC;DTM;C507.2380.01;NON;102;Valeur;Déclarant 1 - Date de nassaissance connue du SI DGFiP;SSAAMMJJ, Format attendu : yyyyMMdd;025DN1
2042-I-0;20;CA;NAD;C076.3148.01;NON;TE;Telephone;Déclarant 2- Téléphone Fixe;minimum = 10 numérique  maximum 13 numérique;025ABK
2042-I-0;20;CA;NAD;C076.3148.01;NON;AL;TelephonePortable;Déclarant 2 - Téléphone portable;minimum = 10 numérique  maximum 13 numérique;025ABN
2042-I-0;20;CA;NAD;C076.3148.01;NON;EM;Email;Déclarant 2 - Mél;60 alpha-num @ 60 alph-num;025ABL
2042-I-0;20;CA;NAD;C082.3039.01;NON;;Identifiant;Déclarant 2 - SPI;13 numérique fixe;025ABB
2042-I-0;20;CC;DTM;C507.2380.01;NON;102;Valeur;Déclarant 2 - Date de naissance connue du SI DGFiP;SSAAMMJJ, Format attendu : yyyyMMdd;025DN2
2042-I-1;20;AA;CCI;C889.7111.01;NON;QLT;Valeur;Qualité de la personne;;025AQ0
2042-I-1;20;AB;CCI;C889.7111.01;NON;TIT;Valeur;Civilité;;025AAC
2042-I-1;20;AC;DTM;C507.2380.01;NON;102;Valeur;Date de naissance;SSAAMMJJ, Format attendu : yyyyMMdd;025AAF
2042-I-1;20;AD;NAD;C080.3036.01;NON;;Designation;Nom de naissance;35 alpha;025AAD
2042-I-1;20;AD;NAD;C080.3036.02;NON;;DesignationSuite1;Prénoms;30 alpha;025AAE
2042-I-1;20;AD;NAD;C819.3228.01;NON;;AdresseDivisionTerritoriale;Si né en France (code 99100), code INSEE département/commune ou DOM-COM/commune;5 alphanumérique fixe;025AAG
2042-I-1;20;AD;NAD;C819.3229.01;NON;;AdresseCodeDivisionTerritoriale;Déclarant 1 -  Pays de naissance (code INSEE);5 numérique fixe;025AAH
2042-I-1;20;AE;CCI;C889.7111.01;NON;TBX;Valeur;Rectification de l'état civil pour D1 et/ou D2;;025MEC
2042-I-1;20;AH;NAD;C080.3036.01;NON;;Designation;Nom d'usage ou marital;35 alpha;025AAI
2042-I-1;20;CA;CCI;C889.7111.01;NON;TBX;Valeur;Vous vivez seul au 01/01/N et vous avez un enfant : - majeur non rattaché au foyer fiscal (ou mineur imposé en son nom propre), - ou décédé après l'âge de 16 ans ou par suite de faits de guerre, et vous avez élevé cet enfant pendant au moins 5 années au cours desquelles vous viviez seul;;0200AL
2042-I-1;20;CB;CCI;C889.7111.01;NON;TBX;Valeur;Contribuable ne vivant pas seul au 01/01/N;;0200AN
